gene-id	gene-symbol	# diseases	# genes
1943	EFNA2	2	312
5077	PAX3	15	1659
6905	TBCE	8	417
3779	KCNMB1	7	1074
5724	PTAFR	3	948
81569	ACTL8	1	299
338435	SCA25	1	0
79738	BBS10	1	20
1018	CDK3	2	1256
55997	CFC1	14	106
2806	GOT2	2	70
9241	NOG	16	1523
7439	BEST1	11	231
3032	HADHB	5	1338
8733	GPAA1	2	976
3880	KRT19	21	3391
3192	HNRNPU	1	552
10498	CARM1	2	1639
5159	PDGFRB	19	2585
1545	CYP1B1	35	3757
51520	LARS	1	671
1058	CENPA	1	719
6468	FBXW4	1	0
353128	AD8	1	465
448963	DFNB51	1	0
11054	OGFR	3	1518
66037	BOLL	2	740
84667	HES7	2	5
8181	BFIC	1	0
3141	HLCS	1	0
1535	CYBA	31	1782
4978	OPCML	7	1872
9622	KLK4	6	2000
3780	KCNN1	2	297
10891	PPARGC1A	26	2880
548316	SPG28	1	0
84706	GPT2	1	59
50976	GRD2	2	46
165	AEBP1	1	76
407014	MIR25	1	631
6588	SLN	1	43
4509	ATP8	1	261
79832	QSER1	1	195
63929	XPNPEP3	1	0
2553	GABPB1	1	82
10135	NAMPT	18	1668
2979	GUCA1B	4	110
3270	HRC	5	219
50947	BFHD	1	0
7880	MBS2	1	1
406935	MIR143	3	893
8824	CES2	6	1493
317716	BPIFA4P	1	1272
22998	LIMCH1	1	125
2571	GAD1	19	1484
11215	AKAP11	1	50
1179	CLCA1	5	1295
735	C9	10	743
2948	GSTM4	1	671
8654	PDE5A	2	581
100233147	ARHI1	1	0
6921	TCEB1	1	1064
4566	TRNK	1	59
116987	AGAP1	1	254
7324	UBE2E1	2	93
84930	MASTL	2	40
50942	IBD6	2	161
91543	RSAD2	3	275
4783	NFIL3	1	25
30811	HUNK	1	1272
1133	CHRM5	5	679
54165	DCUN1D1	1	9
6271	S100A1	6	786
54901	CDKAL1	9	1282
5476	CTSA	3	1169
2837	UTS2R	5	1672
124872	B4GALNT2	1	631
1118	CHIT1	17	1836
114786	XKR4	1	125
5564	PRKAB1	4	1156
336	APOA2	6	358
1301	COL11A1	9	362
22822	PHLDA1	3	1634
383	ARG1	8	1599
2532	DARC	11	1754
51119	SBDS	4	56
3817	KLK2	3	2066
548313	SSX4B	1	299
100415895	GLM6	2	325
92	ACVR2A	5	1782
85458	DIXDC1	1	974
5354	PLP1	9	938
3687	ITGAX	4	827
11261	CHP	1	552
5450	POU2AF1	6	615
63915	MUTED	1	14
85027	C5orf62	1	5
11144	DMC1	1	52
53615	MBD3	2	294
7073	TIAL1	3	1640
4521	NUDT1	7	1642
404683	OB4	2	246
64897	C12orf43	1	300
3839	KPNA3	1	552
6836	SURF4	1	1064
9459	ARHGEF6	4	1264
8976	WASL	3	1345
2289	FKBP5	4	860
3283	HSD3B1	5	1930
2312	FLG	10	873
54363	HAO1	1	1064
1030	CDKN2B	47	3929
2730	GCLM	6	1490
4632	MYL1	1	12
2021	ENDOG	3	1871
65211	FRTS	1	7
4590	MUC8	1	17
5193	PEX12	5	19
146227	BEAN1	2	34
570	BAAT	1	2
3123	HLA-DRB1	187	5383
114790	STK11IP	2	1416
3761	KCNJ4	2	235
5191	PEX7	3	1
883	CCBL1	2	989
7864	SCLC1	1	39
4610	MYCL1	19	3069
171157	SHFM5	2	3
27164	SALL3	2	590
6667	SP1	27	4466
6199	RPS6KB2	1	1272
10243	GPHN	2	5
574411	MIR451A	1	1168
51652	CHMP3	2	706
105	ADARB2	1	125
5976	UPF1	2	642
6532	SLC6A4	81	2795
3549	IHH	10	1507
22829	NLGN4Y	2	337
7434	VIPR2	4	909
100379218	SPDA3	1	0
3601	IL15RA	1	134
55640	FLVCR2	1	0
619397	FEB6	1	0
8912	CACNA1H	7	2110
50485	SMARCAL1	1	0
8867	SYNJ1	2	595
9722	NOS1AP	9	1201
23604	DAPK2	3	1399
7049	TGFBR3	17	2163
85503	MOPCB1	1	0
283237	TTC9C	2	1529
3808	KIR2DS3	1	38
57099	AVEN	2	178
780900	FGS5	1	0
7039	TGFA	29	3731
100188828	SQTL2	1	0
2706	GJB2	42	3790
6609	SMPD1	6	1662
5973	RENBP	2	447
92521	SPECC1	1	12
8546	AP3B1	5	42
253827	MSRB3	2	50
28973	MRPS18B	2	800
5444	PON1	104	5035
55759	WDR12	2	468
5502	PPP1R1A	1	594
2133	EXT3	1	0
55717	WDR11	3	942
8312	AXIN1	9	2355
4969	OGN	1	189
6529	SLC6A1	3	641
4722	NDUFS3	4	1816
431	ASD1	2	11
3487	IGFBP4	4	1626
7134	TNNC1	7	211
4729	NDUFV2	6	1023
4329	ALDH6A1	2	9
160492	IFLTD1	1	671
100188810	ANIB5	2	32
1083	CGF1	1	0
171012	VWS2	1	1
6137	RPL13	3	1267
65125	WNK1	7	750
23363	OBSL1	5	531
3447	IFNA13	3	35
57804	POLD4	1	12
3156	HMGCR	14	1673
2728	GLC3B	1	0
3439	IFNA1	30	2682
3992	FADS1	8	1287
57167	SALL4	11	544
9821	RB1CC1	3	1721
4988	OPRM1	30	1644
3611	ILK	15	3018
9480	ONECUT2	1	134
6098	ROS1	4	873
9782	MATR3	3	133
55760	DHX32	1	369
22827	PUF60	3	114
8202	NCOA3	13	3270
2259	FGF14	4	46
10507	SEMA4D	2	597
83729	INHBE	1	109
2212	FCGR2A	58	3133
85365	ALG2	2	0
7222	TRPC3	4	885
9627	SNCAIP	3	254
940	CD28	13	2022
685	BTC	6	2219
5313	PKLR	7	465
4360	MRC1	2	91
7809	BSND	3	40
3975	LHX1	1	20
22879	MON1B	1	48
27346	TMEM97	1	719
116028	RMI2	1	217
338442	HCAR2	3	693
3162	HMOX1	97	4816
3303	HSPA1A	24	3403
100188837	AD13	2	465
351	APP	39	2739
8691	IDDM17	3	327
11018	TMED1	1	137
23683	PRKD3	2	398
79058	ASPSCR1	2	113
6337	SCNN1A	13	943
1854	DUT	1	75
9127	P2RX6	1	422
80114	BICC1	3	12
84059	GPR98	4	371
51434	ANAPC7	2	1274
6863	TAC1	39	3426
5874	RAB27B	1	14
4620	MYH2	3	325
55851	PSENEN	3	465
901	CCNG2	1	476
2191	FAP	11	2992
317773	MGR	1	34
124590	USH1G	2	9
8322	FZD4	9	498
653145	ANXA8	1	1272
50636	ANO7	1	1064
1056	CEL	5	418
23682	RAB38	1	261
7032	TFF2	8	2534
3664	IRF6	10	229
442459	LOC442459	1	264
3108	HLA-DMA	6	862
28996	HIPK2	4	939
25937	WWTR1	3	1274
1473	CST5	1	461
200150	PLD5	1	254
406928	MIR137	3	654
139716	GAB3	1	492
405	ARNT	6	1835
56246	MRAP	1	1
7033	TFF3	13	2387
6092	ROBO2	3	265
8045	RASSF7	1	186
199974	CYP4Z1	1	974
1734	DIO2	14	1863
54949	SDHAF2	2	7
3230	HOXD@	1	1
7042	TGFB2	22	2434
50615	IL21R	5	760
